name,divergence,type
A/mallard/Maryland/UGAI15-8423/2015|2015-12-19,593,between
A/ruddy_turnstone/Canada/02937/2011|2011-08-30,483,between
A/mallard/Alberta/35/1992|1992-08-11,594,between
A/redhead/Alberta/192/2002|2002-08-16,587,between
A/northern_pintail/California/44242-836/2006|2006-09-18,616,between
NODE_398,211,between
A/pintail/Alberta/166/2003|2003-08-03,607,between
A/mallard/Idaho/23-028149-057/2023|2023-09-12,610,between
A/Mallard/Alberta/297/2023|2023-08-17,608,between
A/Ruddy_Turnstone/Delaware/193/2021|2021-06-01,616,between
NODE_425,16,within
A/mallard/Alberta/254/2003|2003-08-08,656,between
A/blue-winged_teal/Missouri/10MO013/2010|2010-09-15,589,between
A/Mallard_duck/Alberta/504/2019|2019-08-22,628,between
A/Mallard_duck/Alberta/328/2019|2019-08-22,621,between
NODE_497,387,between
A/Blue-winged_Teal/Ohio/18OS1705/2018|2018-09-05,570,between
A/mallard/New_York/AH0179439/2021|2021-09-07,584,between
A/ruddy_turnstone/Delaware_Bay/425/2016|2016-05-24,112,within
NODE_504,55,within
NODE_514,24,within
NODE_510,612,between
A/pintail/Alaska/53/2005|2005-08-08,612,between
NODE_549,248,between
A/ruddy_turnstone/Delaware_Bay/86/1994|1994-05-22,103,within
A/ruddy_turnstone/Delaware_Bay/170/1994|1994-05-22,613,between
A/shorebird/Delaware_Bay/207/1994|1994-05-23,73,within
NODE_547,613,between
A/mallard/Alberta/54/1993|1993-08-17,655,between
NODE_560,462,between
A/mallard_duck/ALB/676/1979|1979-08-13,602,between
A/mallard_duck/Alberta/331/1985|1985-08-18,597,between
A/green-winged_teal/Wisconsin/539/1976|1976-01-01,574,between
NODE_1190,580,between
NODE_592,607,between
A/mallard/Wisconsin/418/1976|1976-01-01,553,between
NODE_608,59,within
A/blue-winged_teal/Wisconsin/123/1978|1978-01-01,584,between
NODE_1178,591,between
A/mallard/Wisconsin/856/1982|1982-01-01,485,between
NODE_1126,408,between
NODE_1123,193,between
NODE_1121,208,between
A/ruddy_turnstone/Delaware/AI10-1021/2010|2010-05-15,612,between
A/shorebird/Delaware_Bay/239/1998|1998-05-19,86,within
NODE_774,527,between
NODE_669,355,between
NODE_661,594,between
NODE_658,101,within
A/American_green-winged_teal/Ohio/13OS1867/2013|2013-09-08,135,within
NODE_665,599,between
NODE_670,627,between
A/mallard/Maryland/06OS479/2006|2006-06-19,566,between
NODE_679,566,between
A/northern_pintail/Alaska/44344-503/2007|2007-08-02,379,between
NODE_701,523,between
A/mallard/Minnesota/AI09-3228/2009|2009-09-08,616,between
A/blue-winged_teal/North_Dakota/Sg-00759/2008|2008-09-11,590,between
A/mallard/Quebec/16485/2005|2005-08-19,582,between
NODE_714,427,between
A/ruddy_turnstone/New_Jersey/UGAI14-1868/2014|2014-05-24,675,between
NODE_728,23,within
NODE_731,28,within
A/ruddy_turnstone/New_Jersey/UGAI17-2983/2017|2017-05-27,602,between
A/ruddy_turnstone/New_Jersey/UGAI17-2901/2017|2017-05-24,29,within
NODE_748,631,between
NODE_763,104,within
NODE_757,20,within
A/mallard/Minnesota/190/1999|1999-01-01,615,between
NODE_782,21,within
A/green-winged_teal/Ohio/960/2002|2002-09-07,491,between
A/blue-winged_teal/Alberta/376/2007|2007-08-28,616,between
NODE_819,372,between
NODE_813,646,between
NODE_911,250,between
NODE_825,589,between
A/American_black_duck/New_Brunswick/02649/2007|2007-09-24,374,between
NODE_869,313,between
A/mallard/Minnesota/AI09-1870/2009|2009-07-28,667,between
NODE_843,366,between
A/black_scoter/Wisconsin/11OS4260/2011|2011-10-24,128,within
A/mallard/Iowa/10OS2492/2010|2010-09-18,574,between
NODE_893,405,between
A/blue-winged_teal/Illinois/15OS6152/2015|2015-10-29,450,between
A/blue-winged_teal/Guatemala/CIP049H109-14/2012|2012-11-16,619,between
A/mallard/Alberta/192/2004|2004-08-13,422,between
A/mallard/Minnesota/Sg-01040/2008|2008-09-14,589,between
A/mallard/Minnesota/Sg-00868/2008|2008-09-03,95,within
NODE_951,617,between
NODE_1000,241,between
A/mallard/Ohio/17OS5967/2017|2017-11-23,591,between
NODE_965,421,between
A/mallard/Ohio/15OS3988/2015|2015-08-07,585,between
NODE_974,384,between
NODE_980,547,between
A/Mallard/Ohio/18OS1844/2018|2018-10-13,606,between
A/blue-winged_teal/Missouri/17OS3234/2017|2017-09-09,670,between
NODE_1005,113,within
A/blue-winged_teal/Texas/AI11-3387/2011|2011-09-18,384,between
NODE_1013,420,between
A/blue-winged_teal/Ohio/16OS1061/2016|2016-09-07,144,within
A/mallard/Ohio/15OS4288/2015|2015-08-21,588,between
NODE_1022,102,within
NODE_1028,296,between
A/blue-winged_teal/Illinois/12OS2929/2012|2012-09-08,630,between
A/blue-winged_teal/Texas/AI11-4830/2011|2011-09-18,606,between
A/redhead/Ohio/13OS363/2013|2013-02-01,616,between
A/blue-winged_teal/Wisconsin/13OS3463/2013|2013-09-29,390,between
A/mallard/Pennsylvania/UGAI15-4737/2015|2015-09-08,590,between
NODE_1085,56,within
A/mallard/Ohio/1506/2006|2006-01-01,369,between
A/mallard/Maryland/10OS1907/2010|2010-09-15,573,between
NODE_1104,407,between
A/mallard/Wisconsin/2712/2009|2009-10-11,582,between
NODE_1134,618,between
A/mallard/Ohio/424/1988|1988-01-01,613,between
NODE_1140,231,between
NODE_1138,378,between
NODE_1148,402,between
NODE_1144,399,between
NODE_1186,656,between
